lc_code,inst,faculty,dept
30101161,"Universitas Negeri Makassar","Fakultas Matematika dan Ilmu Pengetahuan Alam","Program Studi S1 3"
30101170,"Universitas Palangka Raya","Fakultas Pertanian Kehutanan dan Perikanan","Prodi S1"
30101176,"Universitas Palangka Raya","Fakultas Keguruan dan Ilmu Pendidikan","Prodi S1"
30101180,"Politeknik Negeri Lampung","Jurusan Teknologi Pertanian","Program Studi S1 Tr. Teknologi Rekayasa Konstruksi Jalan & Jembatan"
30101181,"Universitas Lampung","Fakultas Prodi S1 Pendidikan Teknologi Informasi Jurusan Pendidikan Matematika dan Ilmu Pengetahuan Alam","Fakultas Prodi S1 Pendidikan Teknologi Informasi Jurusan Pendidikan Matematika dan Ilmu Pengetahuan Alam"
30101182,"Politeknik Negeri Samarinda","Jurusan Desain","D4 Desain Produk Kayu dan Serat Jurusan Desain"
30101184,"Universitas Riau","Fakultas Bahasa dan Sastra Indonesia Jurusan Pendidikan Bahasa dan Seni","Prodi S1 Pendidikan 1"
30101190,"Universitas Negeri Makassar","Fakultas Matematika dan Ilmu Pengetahuan Alam","Program Studi S1 2"
30101190,"Universitas Negeri Makassar","Fakultas Matematika dan Ilmu Pengetahuan Alam","Program Studi S1 3"
30101191,"Politeknik Negeri Jakarta","Jurusan Administrasi Niaga","D4 Bahasa Inggris untuk Komunikasi Bisnis dan Profesional"
30101193,"Universitas Mulawarman","Fakultas Keguruan dan Ilmu Pendidikan","Prodi S1 Pendidikan Fisika Jurusan Pendidikan Matematika dan Ilmu Pengetahuan Alam"
30101199,"Universitas Cenderawasih","Fakultas Teknik","Prodi S1 Planologi/Perencanaan Wilayah dan 2"
30101201,"Politeknik Negeri Sriwijaya","Jurusan Administrasi Bisnis","S2 Pemasaran Inovasi dan Teknologi Jurusan Administrasi Bisnis"
30101202,"Politeknik Negeri Sriwijaya","Jurusan Teknik Kimia","D3 Teknologi Pangan Jurusan Teknik Kimia"
30101205,"Politeknik Negeri Ujung Pandang","Jurusan Teknik Sipil","D4 Jasa Konstruksi"
30101213,"Universitas Negeri Makassar","Fakultas Ekonomi","Program Studi S1 Bisnis Digital Jurusan Bisnis dan 14"
30101215,"Politeknik Negeri Fakfak","Jurusan Manajemen Informatika",NULL
30101216,"Politeknik Negeri Samarinda","Jurusan Kemaritiman","D3 Teknika Jurusan Kemaritiman"
30101218,"Universitas Mulawarman","Fakultas Matematika dan Ilmu Pengetahuan Alam","Prodi S1 Geofisika 1"
30101218,"Universitas Mulawarman","Fakultas Matematika dan Ilmu Pengetahuan Alam","Prodi S1 Geofisika 2"
30101221,"Politeknik Negeri Kupang","Jurusan Teknik Sipil",NULL
30101227,"Universitas Pembangunan Nasional Veteran" Jakarta"","Fakultas Ekonomi dan Bisnis","Program Studi D-III 3"
30101232,"Politeknik Manufaktur Negeri Bandung","Bagian Perencanaan Keuangan dan Umum",NULL
30101237,"Politeknik Negeri Bandung","Jurusan Teknik Refrigerasi Dan Tata Udara",NULL
30101242,"Politeknik Manufaktur Negeri Bandung","Bagian Perencanaan Keuangan dan Umum","Subbagian Umum Bagian Perencanaan Keuangan dan Umum"
30101243,"Politeknik Negeri Semarang","Jurusan Teknik Mesin","Program Studi D3"
30101244,"Universitas Sam Ratulangi","Fakultas Pertanian","Program Studi S1 Proteksi Tanaman Jurusan Hama 4"
30101250,"Universitas Jambi","Fakultas Peternakan dan Perikanan","Prodi D3 Teknologi Hasil Perikanan Fakultas 2"
30101251,"Politeknik Negeri Madiun","Jurusan Teknik","D4 Teknologi Rekayasa Perangkat Lunak Jurusan Teknik"
30101253,"Politeknik Negeri Ujung Pandang","Jurusan Teknik Elektro","D4 Teknik Listrik"
30101259,"Politeknik Negeri Medan","Jurusan Akuntansi","D3 Keuangan dan Perbankan"
30101261,"Politeknik Negeri Bandung",NULL,"Unit Penunjang Akademik Teknologi Informasi Dan Komunikasi"
30101264,"Politeknik Perkapalan Negeri Surabaya","Jurusan Teknik Kelistrikan Kapal",NULL
30101265,"Politeknik Pertanian Negeri Pangkajene Kepulauan","Bagian Akademik dan Kemahasiswaan","Subbagian Akademik Bagian Akademik dan Kemahasiswaan"
30101273,"Politeknik Negeri Sriwijaya",NULL,"Unit Penunjang Akademik Layanan Uji Kompetensi"
30101274,"Universitas Sriwijaya","Fakultas Komunikasi Fakultas Ilmu Sosial dan Ilmu Politik","Program Studi S1 Ilmu Komunikasi Jurusan 18"
30101275,"Politeknik Negeri Sambas",NULL,"Unit Penunjang Akademik Perpustakaan"
30101276,"Politeknik Negeri Banyuwangi","Jurusan Teknik Sipil",NULL
30101279,"Universitas Jambi","Fakultas dan Teknologi","Prodi S1 Teknik Kimia Fakultas Sains 1"
30101279,"Universitas Jambi","Fakultas dan Teknologi","Prodi S1 Teknik Kimia Fakultas Sains 4"
30101281,"Politeknik Negeri Sambas","Bagian Akademik Kemahasiswaan Perencanaan dan Kerja Sama","Subbagian Akademik"
30101282,"Universitas Sam Ratulangi","Fakultas Pertanian","Program Studi S1 Teknik Pertanian Jurrusan Teknologi 15"
30101288,"Universitas Negeri Makassar","Fakultas Teknik","Program Studi S1 Teknik Komputer Pendidikan 2"
30101288,"Universitas Negeri Makassar","Fakultas Teknik","Program Studi S1 Teknik Komputer Pendidikan 7"
30101289,"Universitas Cenderawasih","Fakultas Keguruan dan Ilmu Pendidikan","Prodi S1 1"
30101299,"Universitas Riau","Fakultas Biologi","Prodi S1 Biologi Jurusan 6"
30101300,"Politeknik Negeri Madiun","Jurusan Administrasi Bisnis","D3 Bahasa Inggris Jurusan Administrasi Bisnis"
30101301,"Politeknik Manufaktur Negeri Bandung","Jurusan Teknik Perancangan Manufaktur",NULL
30101303,"Politeknik Negeri Manado","Jurusan Administrasi Bisnis","D4 Manajemen Bisnis Jurusan Administrasi Bisnis"
30101320,"Universitas Mulawarman","Fakultas Keguruan dan Ilmu Pendidikan","Prodi S1 Pendidikan 4"
30101321,"Universitas Jember","Fakultas Ilmu Sosial dan Ilmu Politik","Program Studi D3 Usaha Perjalanan 2"
30101322,NULL,"Fakultas Pertanian","Prodi S1 Teknologi industri pertanian"
30101324,"Universitas Pembangunan Nasional Veteran" Jakarta"","Fakultas Ilmu Sosial dan Ilmu Politik","Program Studi S-2 Hubungan Internasional Jurusan Hubungan Internasional Fakultas Ilmu sosial dan Ilmu Politik"
30101325,"Politeknik Negeri Padang","Jurusan Teknologi Informasi","D3 Teknik Komputer (PSDKU Kab. Solok Selatan) Jurusan Teknologi Informasi"
30101326,"Universitas Sriwijaya","Fakultas Kedokteran","Program Studi Sp-1 Bedah Thoraks dan Kardiovaskuler Bagian Bedah Fakultas 10"
30101328,"Universitas Lambung Mangkurat","FAKULTAS MATEMATIKA DAN ILMU PENGETAHUAN ALAM","Prodi S1"
30101329,"Universitas Riau","Fakultas Prodi S2 Pendidikan Kimia Jurusan Pendidikan Matematika dan Ilmu Pengetahuan Alam","Fakultas Prodi S2 Pendidikan Kimia Jurusan Pendidikan Matematika dan Ilmu Pengetahuan Alam"
30101333,"Universitas Negeri Makassar","Fakultas Teknik","Program Studi S1 Teknologi Industri Pertanian Pendidikan 4"
30101334,"Politeknik Negeri Jakarta","Jurusan Teknik Grafika dan Penerbitan","D3 Penerbitan"
30101336,"Universitas Riau","Fakultas Manajemen Informatika Jurusan Ilmu Komputer","Prodi D3 4"
30101337,"Politeknik Negeri Pontianak","Jurusan Teknik Sipil","D4 Perencanaan Perumahan dan Pemukiman"
30101342,"Universitas Jambi","Fakultas Kedokteran dan Ilmu Kesehatan","Prodi Profesi Dokter Fakultas 7"
30101343,"Politeknik Negeri Malang","Jurusan Teknologi Informasi","S2 Terapan Rekayasa Teknologi Informasi Jurusan Teknologi Informasi"
30101345,"Universitas Negeri Makassar","Fakultas Ilmu Sosial","Program Studi S1 Ilmu Administrasi Bisnis Jurusan Ilmu 1"
30101345,"Universitas Negeri Makassar","Fakultas Ilmu Sosial","Program Studi S1 Ilmu Administrasi Bisnis Jurusan Ilmu 11"
30101348,"Universitas Cenderawasih","Fakultas Ilmu Sosial dan Ilmu Politik","Prodi S1 Perpustakaan Jurusan 7"
30101351,"Politeknik Negeri Malang","Jurusan Teknologi Informasi","D4 Sistem Informasi Bisnis Jurusan Teknologi Informasi"
30101355,"Politeknik Negeri Malang","Jurusan Teknik Mesin","D4 Teknik Otomotif Elektronik Jurusan Teknik Mesin"
30101358,"Universitas Bangka Belitung","Fakultas Pertanian Perikanan dan Kelautan","Prodi S1 Agribisnis 1"
30101365,"Universitas Samudra","Fakultas Pendidikan Sejarah Jurusan Pendidikan Ilmu Pengetahuan Sosial","Prodi S1 3"
30101370,"Universitas Negeri Makassar","Fakultas Seni dan Desain","Program Studi S1 Pendidikan Seni Drama Tari dan 13"
30101374,"Universitas Bangka Belitung","Fakultas Pertanian Perikanan dan Kelautan","Prodi S1 Akuakultur 3"
30101381,"Politeknik Negeri Lampung","Jurusan Peternakan","Program Studi D3 Produksi Ternak"
30101382,"Universitas Borneo Tarakan","Fakultas Keguruan dan Ilmu Pendidikan","Program Studi S1 1"
30101386,"Politeknik Negeri Fakfak","Jurusan Manajemen Informatika","Program Studi D3 Teknik Listrik Jurusan Manajemen Informatika"
30101389,"Universitas Jambi","Fakultas Fakultas Keguruan dan Ilmu Pendidikan","Prodi S1 Administrasi Pendidikan 3"
30101393,"Universitas Manado","Fakultas Teknik","Prodi. S1 Teknik Sipil Jurusan Pendidikan Teknik 3"
30101401,"Politeknik Perkapalan Negeri Surabaya","Jurusan Teknik Bangunan Kapal","D-IV Manajemen Bisnis"
30101403,"Universitas Lambung Mangkurat","FAKULTAS PERIKANAN DAN ILMU KELAUTAN","Prodi S1"
30101404,"Universitas Sriwijaya","Fakultas Program Studi S1 Pendidikan Biologi Jurusan Pendidikan Matematika dan Ilmu Pengetahuan Alam Fakultas Keguruan dan Ilmu Pendidikan","Fakultas Program Studi S1 Pendidikan Biologi Jurusan Pendidikan Matematika dan Ilmu Pengetahuan Alam Fakultas Keguruan dan Ilmu Pendidikan"
30101406,"Politeknik Negeri Jakarta","Jurusan Akuntansi","D4 Keuangan dan Perbankan"
30101407,"Politeknik Negeri Indramayu","Jurusan Teknik Informatika","D4 Rekayasa Perangkat Lunak"
30101408,"Universitas Sriwijaya","Fakultas Program Studi S1 Pendidikan Kimia Jurusan Pendidikan Matematika dan Ilmu Pengetahuan Alam Fakultas Keguruan dan Ilmu Pendidikan","Fakultas Program Studi S1 Pendidikan Kimia Jurusan Pendidikan Matematika dan Ilmu Pengetahuan Alam Fakultas Keguruan dan Ilmu Pendidikan"
30101409,NULL,"Fakultas Pertanian","Prodi S1 Manajemen sumber daya perairan"
30101410,"Universitas Sam Ratulangi","Fakultas Ilmu Sosial dan Ilmu Politik","Program Studi S1 Ilmu 3"
30101411,NULL,"Fakultas Ekonomi dan Bisnis","Program Studi Sarjana (S1) Akuntansi"
30101415,"Politeknik Negeri Tanah Laut","Jurusan Teknologi Industri Pertanian",NULL
30101418,"Politeknik Negeri Bali","Bagian Perencanaan Keuangan dan Umum","Subbagian Umum Bagian Perencanaan Keuangan dan Umum"
30101419,"Politeknik Negeri Cilacap","Jurusan Komputer dan Bisnis","Program Studi Teknologi Rekayasa Multimedia"
30101423,"Universitas Pendidikan Ganesha","Fakultas Matematika dan Ilmu Pengetahuan Alam","Program Studi S1 Biologi Jurusan Biologi dan Perikanan Kelautan"
30101428,"Politeknik Negeri Bandung","Jurusan Teknik Mesin","D3 Teknik Mesin Jurusan Teknik Mesin"
30101429,"Politeknik Pertanian Negeri Kupang","Jurusan Tanaman Pangan dan Horltikultura",D4
30101434,"Universitas Jember","Fakultas Keguruan dan Ilmu Pendidikan","Program Studi Sarjana (S1) 4"
30101435,"Universitas Sriwijaya","Fakultas Pendidikan Jurusan Ilmu Pendidikan Fakultas Keguruan dan Ilmu Pendidikan","Program Studi S2 Teknologi 2"
30101436,"Universitas Lampung","Fakultas Pertanian","Prodi S1 Teknologi Industri Pertanian Jurusan Teknologi Industri 1"
30101441,"Universitas Tadulako","Fakultas Anak Usia Dini Jurusan Ilmu Pendidikan","Prodi S1 Pendidikan Guru Pendidikan 1"
30101446,"Politeknik Perikanan Negeri Tual","Jurusan Teknologi Perikanan","Program Studi D4 Bioteknologi Perikanan"
30101449,"Universitas Tanjungpura","Fakultas Ilmu Sosial dan Ilmu Politik","Prodi S2 Ilmu Politik Jurusan Ilmu 4"
30101452,"Universitas Sriwijaya","Fakultas dan Kesehatan Jurusan Ilmu Pendidikan Fakultas Keguruan dan Ilmu Pendidikan","Program Studi S1 Pendidikan Jasmani 3"
30101455,"Institut Seni Indonesia Padang","Fakultas Seni Pertunjukan","Program Studi D4 Tari Melayu Jurusan Tari 3"
30101456,"Universitas Pembangunan Nasional Veteran" Jawa Timur"","Fakultas Ilmu Sosial Budaya dan Politik","Prodi S1"
30101461,"Politeknik Negeri Indramayu","Jurusan Teknik","D4 Teknologi Rekayasa Instrumentasi dan Kontrol"
30101464,"Universitas Pattimura","Fakultas Teknik Universitas Pattimura","Prodi S1 Teknik Geologi Jurusan Teknik Geologi Fakultas 2"
30101466,"Universitas Negeri Makassar","Fakultas Matematika dan Ilmu Pengetahuan Alam","Program Studi S1 2"
30101466,"Universitas Negeri Makassar","Fakultas Matematika dan Ilmu Pengetahuan Alam","Program Studi S1 9"
30101468,"Politeknik Negeri Bandung","Jurusan Teknik Elektro",NULL
30101469,"Politeknik Negeri Madiun","Jurusan Administrasi Bisnis","D4 Pemasaran Digital Jurusan Administrasi Bisnis"
30101472,"Universitas Jambi","Fakultas Sains dan Teknologi","Prodi D3 Kimia Industri Fakultas 4"
30101476,"Politeknik Negeri Nunukan","Jurusan Administrasi Bisnis",NULL
30101478,"Universitas Sriwijaya","Fakultas Fakultas Pertanian","Program Studi S1 Agribisnis Jurusan Sosial Ekonomi Pertanian 2"
30101478,"Universitas Sriwijaya","Fakultas Fakultas Pertanian","Program Studi S1 Agribisnis Jurusan Sosial Ekonomi Pertanian 3"
30101482,"Politeknik Perkapalan Negeri Surabaya","Jurusan Teknik Permesinan Kapal","D-IV Teknik Keselamatan dan Kesehatan Kerja"
30101485,"Universitas Lampung","Fakultas Jurusan Ilmu Pendidikan","Prodi S2 Teknologi Pendidikan 1"
30101489,"Universitas Pembangunan Nasional Veteran" Yogyakarta"","Fakultas Pertanian","Program Studi S1 Ilmu Tanah Jurusan 2"
30101492,"Politeknik Perkapalan Negeri Surabaya","Jurusan Teknik Permesinan Kapal","D-III Teknik Permesinan Kapal"
30101494,"Universitas Pembangunan Nasional Veteran" Jakarta"","Fakultas Ekonomi dan Bisnis","Program Studi S-2 2"
30101496,"Politeknik Negeri Jakarta","Jurusan Teknik Mesin",NULL
30101502,"Politeknik Negeri Ketapang","Jurusan Teknik Sipil dan Pertambangan","D4 Teknologi Rekayasa Kontruksi Jalan dan Jembatan Jurusan Teknik Sipil dan Pertambangan"
30101503,"Universitas Pembangunan Nasional Veteran" Jakarta"","Fakultas Ekonomi dan Bisnis","Program Studi S-2 4"
30101507,"Universitas Borneo Tarakan","Fakultas Keguruan dan Ilmu Pendidikan","Program Studi S1 2"
30101515,"Politeknik Negeri Jember","Jurusan Kesehatan","D4 Manajemen Informasi Kesehatan PSDKU Kabupaten Ngawi Jurusan Kesehatan"
30101516,"Politeknik Negeri Media Kreatif","Jurusan Desain Grafis","Program Studi D4 Teknologi Permainan- Jurusan Desain"
30101517,"Universitas Cenderawasih","Fakultas Ilmu Sosial dan Ilmu Politik","Prodi S1 Antropologi Sosial Jurusan 7"
30101518,"Universitas Lampung","Fakultas Jurusan Administrasi Bisnis","Prodi S1 Ilmu Administrasi Bisnis 3"
30101521,"Politeknik Negeri Malang","Jurusan Teknik Mesin","D3 Teknik Mesin Jurusan Teknik Mesin"
30101522,"Politeknik Negeri Jember","Jurusan Kesehatan","D4 Promosi Kesehatan Jurusan Kesehatan"
30101533,"Universitas Sriwijaya","Fakultas Olahraga Jurusan Ilmu Pendidikan Fakultas Keguruan dan Ilmu Pendidikan","Program Studi S2 Pendidikan 1"
30101536,"Universitas Lambung Mangkurat","FAKULTAS MATEMATIKA DAN ILMU PENGETAHUAN ALAM","Prodi S1"
30101537,"Politeknik Negeri Tanah Laut",NULL,"Unit Penunjang Akademik Perpustakaan"
30101539,"Universitas Negeri Makassar","Fakultas Matematika dan Ilmu Pengetahuan Alam","Program Studi S1 5"
30101541,"Politeknik Negeri Sambas",NULL,"Unit Penunjang Akademik Teknologi Informasi dan Komunikasi"
30101546,"Universitas Negeri Makassar","Fakultas Matematika dan Ilmu Pengetahuan Alam","Program Studi S1 6"
30101554,"Politeknik Negeri Sriwijaya","Jurusan Teknik Kimia","D4 Teknologi Kimia Industri Jurusan Teknik Kimia"
30101560,"Politeknik Pertanian Negeri Pangkajene Kepulauan","Bagian Perencanaan Keuangan dan Umum","Subbagian Umum Bagian Perencanaan Keuangan dan Umum"
30101565,"Politeknik Negeri Banjarmasin","Jurusan Teknik Mesin",NULL
30101566,"Universitas Sriwijaya","Fakultas Fakultas Kedokteran","Program Studi Sp-1 Ilmu Penyakit Dalam Bagian Ilmu Penyakit Dalam 20"
30101569,"Universitas Bangka Belitung","Fakultas Sains dan Teknik","Prodi S1 Teknik Elektro Jurusan Teknik Elektro 2"
30101570,"Politeknik Negeri Bali","Jurusan Teknik Elektro","D3 Teknik Listrik"
30101578,"Universitas Lambung Mangkurat","FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN","Prodi S1"
30101579,"Universitas Samudra","Fakultas Pendidikan Geografi Jurusan Pendidikan Ilmu Pengetahuan Sosial","Prodi S1 1"
30101579,"Universitas Samudra","Fakultas Pendidikan Geografi Jurusan Pendidikan Ilmu Pengetahuan Sosial","Prodi S1 8"
30101580,"Politeknik Pertanian Negeri Payakumbuh","Jurusan Rekayasa Pertanian Dan Komputer","Program Studi Tata Air Pertanian"
30101586,"Politeknik Negeri Samarinda","Jurusan Teknik Kimia","D3 Petro dan Oleo Kimia Jurusan Teknik Kimia"
30101587,"Universitas Jambi","Fakultas dan Teknologi","Prodi S1 Teknik Sipil Fakultas Sains 8"
30101593,"Politeknik Negeri Madiun","Jurusan Teknik","D3 Teknik Komputer Kontrol Jurusan Teknik"
30101594,"Politeknik Manufaktur Negeri dan Mekatronika","Jurusan Teknik Otomasi Manufaktur dan Mekatronika",NULL
30101596,"Universitas Lambung Mangkurat","FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN","UNIVERSITAS LAMBUNG Prodi S1"
30101600,"Politeknik Negeri Padang","Jurusan Teknik Sipil",NULL
30101601,"Politeknik Negeri Bali","Jurusan Teknik Mesin","D3 Teknik Mesin"
30101604,"Universitas Sriwijaya","Fakultas Pendidikan Ekonomi Jurusan Pendidikan Ilmu Pengetahuan Sosial Fakultas Keguruan dan Ilmu Pendidikan","Program Studi S1 1"
30101609,"Politeknik Negeri Bengkalis","Jurusan Kemaritiman","Program Studi D3 Ketatalaksanaan Pelayaran Niaga"
30101610,"Politeknik Pertanian Negeri Pangkajene Kepulauan","Jurusan Budidaya Perikanan","Program Studi D4 Teknologi Pembenihan Ikan Jurusan Budidaya Perikanan"
30101612,"Universitas Lampung","Fakultas Fisika","Prodi S1 Fisika Jurusan 2"
30101613,"Politeknik Negeri Ketapang","Jurusan Pertanian dan Bisnis","D3 Teknologi Hasil Perkebunan Jurusan Pertanian dan Bisnis"
30101615,"Universitas Negeri Makassar","Fakultas Teknik","Program Studi D3 Tata Busana Pendidikan Kesejahteraan 2"
30101616,NULL,"Fakultas Ilmu Sosial dan Ilmu Budaya","Prodi S1 Psikologi"
30101625,"Politeknik Negeri Medan","Jurusan Teknik Elektro","D3 Teknik Telekomunikasi"
30101628,"Politeknik Negeri Ujung Pandang","Jurusan Teknik Mesin","D3 Perawatan Alat Berat"
30101629,"Universitas Tadulako","Fakultas Kesehatan Dan Rekreasi Jurusan Ilmu Pendidikan","Prodi S1 Pendidikan Jasmani 1"
30101633,"Politeknik Negeri Samarinda","Jurusan Teknologi Informasi","D4 Teknik Informatika Multimedia Jurusan Teknologi Informasi"
30101635,"Universitas Mulawarman","Fakultas Keguruan dan Ilmu Pendidikan","Prodi S1 Pendidikan Guru 4"
30101642,"Politeknik Negeri Tanah Laut","Jurusan Komputer dan Bisnis",NULL
30101649,"Universitas Tadulako","Fakultas Bahasa Inggris Jurusan Pendidikan Bahasa dan Seni","Prodi S1 Pendidikan 1"
30101653,"Politeknik Negeri Tanah Laut","Jurusan Komputer dan Bisnis","D4 Teknologi Rekayasa Komputer Jaringan Jurusan Komputer dan Bisnis"
30101660,"Politeknik Negeri Sriwijaya","Jurusan Teknik Kimia",NULL
30101674,"Politeknik Negeri Semarang",NULL,"Unit Penunjang Akademik Teknologi Informasi dan Komunikasi"
30101675,"Politeknik Negeri Bandung","Jurusan Teknik Elektro","D4 Teknik Elektronika Jurusan Teknik Elektro"
30101676,"Politeknik Pertanian Negeri Samarinda","Jurusan Pertanian",NULL
30101678,"Politeknik Negeri Media Kreatif",NULL,"Unit Penunjang Akademik Teknologi Informasi dan Komunikasi"
30101679,"Politeknik Negeri Semarang","Jurusan Akuntansi","Program Studi D3"
30101683,"Universitas Mulawarman","Fakultas Matematika dan Ilmu Pengetahuan Alam","Prodi S1 1"
30101687,"Universitas Lambung Mangkurat","FAKULTAS MATEMATIKA DAN ILMU PENGETAHUAN ALAM","Prodi S1"
30101692,"Universitas Pattimura","Fakultas Matematika Fakultas Sains dan Teknologi Universitas Pattimura","Prodi S1 Ilmu Komputer Jurusan 6"
30101693,"Politeknik Negeri Pontianak","Jurusan Teknik Elektro","D3 Teknik Informatika"
30101696,"Universitas Mulawarman","Fakultas Keguruan dan Ilmu Pendidikan","Prodi S1 Pendidikan 2"
30101701,"Universitas Jember","Fakultas Keguruan dan Ilmu Pendidikan","Program Studi Sarjana (S1) 1"
30101702,"Politeknik Negeri Nunukan",NULL,"UPT Teknologi Informasi dan Komunikasi"
30101705,"Politeknik Perikanan Negeri Tual","Jurusan Teknologi Sumberdaya Perairan","Program Studi D4 Manajemen Rekayasa Budidaya Laut"
30101710,"Universitas Sam Ratulangi","Fakultas Teknik","Program Studi S1 Perencanaan Wilayah dan Kota Jurusan Arsitektur 6"
30101712,"Politeknik Maritim Negeri Indonesia","Jurusan Bisnis Maritim","Program Studi"
30101716,"Politeknik Negeri Bali","Jurusan Teknik Sipil","D4 Manajemen Proyek Konstruksi"
30101719,"Universitas Riau","Fakultas Kimia","Prodi S1 Kimia Jurusan 5"
30101722,"Politeknik Negeri Medan","Jurusan Teknik Elektro","D3 Teknik Listrik"
30101725,"Politeknik Negeri Semarang",NULL,"Unit Penunjang Akademik Perpustakaan"
30101727,"Universitas Lampung","Fakultas Pendidikan Sejarah Jurusan Pendidikan Ilmu Pengetahuan Sosial","Prodi S1 2"
30101733,"Universitas Cenderawasih","Fakultas Keguruan dan Ilmu Pendidikan","Prodi S1 Pendidikan Biologi Jurusan Pendidikan Matematika Dan Ilmu Pengetahuan Alam"
30101740,"Universitas Cenderawasih","Fakultas Matematika dan Ilmu Pengetahuan Alam","Prodi S1 Teknologi 3"
30101743,"Politeknik Negeri Bandung","Jurusan Administrasi Niaga","D3 Manajemen Pemasaran Jurusan Administrasi Niaga"
30101745,"Politeknik Negeri Bali","Jurusan Teknologi Informasi","D4 Teknologi Rekayasa Perangkat Lunak Jurusan Teknologi Informasi"
30101758,"Politeknik Negeri Padang","Jurusan Teknik Elektro",NULL
30101760,"Politeknik Negeri Batam","Jurusan Manajemen Bisnis","D2 Distribusi Barang"
30101762,"Politeknik Pertanian Negeri Samarinda","Jurusan Pertanian",NULL
30101764,"Politeknik Negeri Jember","Jurusan Teknologi Informasi","D4 Teknik Informatika PSDKU Kabupaten Sidoarjo Jurusan Teknologi Informasi"
30101765,"Politeknik Negeri Banyuwangi","Jurusan Pertanian","D4 Teknologi Pengolahan Hasil Ternak Jurusan Pertanian"
30101766,"Universitas Jenderal Soedirman","Fakultas Perikanan dan Ilmu Kelautan","Prodi S1 Manajemen Sumberdaya 2"
30101766,"Universitas Jenderal Soedirman","Fakultas Perikanan dan Ilmu Kelautan","Prodi S1 Manajemen Sumberdaya 3"
30101767,"Politeknik Negeri Malang","Jurusan Teknik Sipil","D3 Teknologi Konstruksi Jalan Jembatan dan Bangunan Air Jurusan Teknik Sipil"
30101768,"Universitas Manado","Fakultas Teknik","Prodi S1 Pendidikan Teknik Mesin Jurusan Pendidikan Teknik 2"
30101769,"Universitas Cenderawasih","Fakultas Ilmu Keolahragaan","Prodi S1 Pendidikan 10"
30101776,"Universitas Pembangunan Nasional Veteran" Yogyakarta"","Fakultas Pertanian","Program Studi S1 Agribisnis Jurusan 1"
30101780,"Universitas Riau","Fakultas Perairan","Prodi S1 Budidaya Perairan Jurusan Budidaya 1"
30101781,"Universitas Jember","Fakultas Matematika Dan Ilmu Pengetahuan Alam","Jurusan Biologi"
30101782,"Politeknik Negeri Nusa Utara","Bagian Perencanaan Keuangan dan Umum","Subbagian Umum Bagian Perencanaan Keuangan dan Umum"
30101786,"Politeknik Perkapalan Negeri Surabaya","Bagian Perencanaan Keuangan dan Umum",NULL
30101787,"Universitas Trunojoyo Madura","Fakultas Keguruan dan Ilmu Pendidikan","Prodi S1 Pendidikan 5"
30101792,"Universitas Pendidikan Ganesha","Fakultas Teknik dan Kejuruan","Program Studi S1 Sistem Informasi Jurusan 3"
30101796,"Politeknik Negeri Bandung","Jurusan Administrasi Niaga","D4 Manajemen Aset Jurusan Administrasi Niaga"
30101800,"Politeknik Pertanian Negeri Samarinda","Jurusan Pertanian","D4 Pengelolaan Perkebunan Jurusan Pertanian"
30101801,"Universitas Palangka Raya","Fakultas Pertanian Kehutanan dan Perikanan","Prodi S1"
30101811,"Politeknik Manufaktur Negeri Bangka Belitung","Jurusan Informatika dan Bisnis","D4 Program Studi Bisnis Digital"
30101825,"Universitas Sam Ratulangi","Fakultas Pertanian","Program Studi S1 Agribisnis Jurusan Sosial Ekonomi 2"
30101826,"Universitas Jenderal Soedirman","Fakultas Ilmu-Ilmu Kesehatan","Jurusan Keperawatan Universitas Jenderal Soedirman"
30101827,"Politeknik Pertanian Negeri Samarinda","Jurusan Pertanian","D4 Teknologi Produksi Tanaman Pangan Jurusan Pertanian"
30101831,"Politeknik Manufaktur Negeri Manufaktur","Jurusan Teknik Perancangan Manufaktur",NULL
30101832,"Politeknik Negeri Media Kreatif","Jurusan Penerbitan","Program Studi D4 Produksi Film dan Televisi"
30101835,"Universitas Pembangunan Nasional Veteran" Jakarta"","Fakultas Ilmu Komputer","Program Studi D-III Sistem 4"
30101844,"Politeknik Pertanian Negeri Pangkajene Kepulauan","Jurusan Bisnis","Program Studi D4 Administrasi Bisnis Internasional Jurusan Bisnis"
30101845,"Universitas Negeri Makassar","Fakultas Matematika dan Ilmu Pengetahuan Alam","Program Studi S1 2"
30101846,"Politeknik Negeri Pontianak","Jurusan Teknologi Pertanian","D3 Pengolahan Hasil Perkebunan Terpadu PSDKU Singkawang"
30101848,"Politeknik Negeri Cilacap","Jurusan Rekayasa Mesin dan Industri Pertanian","Program Studi Teknik Pengendalian Pencemaran Lingkungan"
30101852,"Universitas Jenderal Soedirman","Fakultas Perikanan dan Ilmu Kelautan","Prodi S2 Ilmu Kelautan Jurusan 2"
30101855,"Institut Seni Indonesia Padang","Fakultas Seni Rupa dan Desain","Program Studi S1 Pariwisata Jurusan 5"
30101859,"Politeknik Negeri Malang","Jurusan Administrasi Niaga","D4 Pengelolaan Arsip dan Rekaman Informasi Jurusan Administrasi Niaga"
30101863,"Politeknik Negeri Media Kreatif","Jurusan Teknik Grafika","Program Studi D3 Teknik Grafika Kampus Makassar- Jurusan Teknik Grafika"
