lc_code,inst,faculty,dept
30100355,"Universitas Mulawarman","Fakultas Matematika dan Ilmu Pengetahuan Alam","Prodi S1 1"
30100357,"Politeknik Negeri Lampung","Jurusan Budidaya Tanaman Perkebunan","Program Studi S1 Tr. Pengelolaan Perkebunan Kopi-Jurusan Budidaya Tanaman Perkebunan"
30100359,"Politeknik Negeri Balikpapan","Jurusan Bisnis","D4 Perbankan dan Keuangan Digital Jurusan Bisnis"
30100361,"Universitas Samudra","Fakultas Matematika dan Ilmu Pengetahuan Alam","Prodi S1 Kimia Jurusan 1"
30100361,"Universitas Samudra","Fakultas Matematika dan Ilmu Pengetahuan Alam","Prodi S1 Kimia Jurusan 3"
30100362,"Politeknik Negeri Bandung","Jurusan Teknik Sipil","D3 Teknik Konstruksi Sipil Jurusan Teknik Sipil"
30100363,"Politeknik Negeri Malang","Jurusan Teknik Sipil","D3 Teknologi Pertambangan Jurusan Teknik Sipil"
30100366,"Universitas Lambung Mangkurat","FAKULTAS MATEMATIKA DAN ILMU PENGETAHUAN ALAM","Prodi S1"
30100367,"Politeknik Negeri Padang","Jurusan Bahasa Inggris",NULL
30100371,"Universitas Pembangunan Nasional Veteran" Yogyakarta"","Fakultas Ekonomi dan Bisnis","Program Studi S1 1"
30100371,"Universitas Pembangunan Nasional Veteran" Yogyakarta"","Fakultas Ekonomi dan Bisnis","Program Studi S1 2"
30100372,"Politeknik Negeri Malang","Jurusan Akuntansi","D3 Akuntansi Kampus Kediri Jurusan Akuntansi"
30100377,"Politeknik Negeri Tanah Laut","Jurusan Rekayasa dan Industri","D4 Teknologi Rekayasa Konstruksi Jalan Dan Jembatan Jurusan Rekayasa dan Industri"
30100381,"Universitas Lampung","Fakultas Komputer Jurusan Ilmu Komputer","Prodi S2 Ilmu 2"
30100383,"Universitas Sriwijaya","Fakultas Pendidikan Sejarah Jurusan Pendidikan Ilmu Pengetahuan Sosial Fakultas Keguruan dan Ilmu Pendidikan","Program Studi S1 3"
30100392,"Politeknik Pertanian Negeri Samarinda","Jurusan Rekayasa dan Komputer","D4 Teknologi Rekayasa Geomatika dan Survei Jurusan Rekayasa dan Komputer"
30100393,"Universitas Bangka Belitung","Fakultas Pertanian Perikanan dan Kelautan","Prodi S1 Manajemen Sumberdaya Perairan Jurusan Manajemen Sumberdaya Perairan"
30100394,"Politeknik Negeri Bandung","Jurusan Bahasa Inggris","D3 Bahasa Inggris Jurusan Bahasa Inggris"
30100396,"Politeknik Negeri Ujung Pandang","Jurusan Teknik Sipil","D3 Teknik Konstruksi Sipil"
30100398,"Politeknik Pertanian Negeri Samarinda","Jurusan Pertanian","D3 Teknologi Hasil Perkebunan Jurusan Pertanian"
30100400,"Universitas Tadulako","Fakultas Bahasa dan Sastra Indonesia Jurusan Pendidikan Bahasa dan Seni","Prodi S1 Pendidikan 1"
