loc_code,data1,data2,data3,data4,data5,data6
30102704,NULL,NULL,"Universitas Sulawesi Barat","Fakultas Ilmu Sosial Ilmu Politik dan Hukum","Prodi S1 Ilmu Politik Fakultas Ilmu Sosial Ilmu Politik dan Hukum",NULL
30102704,NULL,NULL,"Universitas Sulawesi Barat","Fakultas Ilmu Sosial Ilmu Politik dan Hukum","Prodi S1 Ilmu Politik Fakultas Ilmu Sosial Ilmu Politik dan Hukum",NULL
30102706,NULL,NULL,"Universitas Sriwijaya","Fakultas Teknik","Jurusan Teknik Elektro Fakultas Teknik","Program Studi S1 Teknik Elektro Jurusan Teknik Elektro Fakultas Teknik"
30102706,NULL,NULL,"Universitas Sriwijaya","Fakultas Teknik","Jurusan Teknik Elektro Fakultas Teknik","Program Studi S1 Teknik Elektro Jurusan Teknik Elektro Fakultas Teknik"
30102706,NULL,NULL,"Universitas Sriwijaya","Fakultas Teknik","Jurusan Teknik Elektro Fakultas Teknik","Program Studi S1 Teknik Elektro Jurusan Teknik Elektro Fakultas Teknik"
30102706,NULL,NULL,"Universitas Sriwijaya","Fakultas Teknik","Jurusan Teknik Elektro Fakultas Teknik","Program Studi S1 Teknik Elektro Jurusan Teknik Elektro Fakultas Teknik"
30102707,NULL,NULL,"Institut Teknologi Kalimantan","Fakultas Rekayasa dan Teknologi Industri","Prodi S1 Teknologi Pangan Fakultas Rekayasa dan Teknologi Industri",NULL
30102707,NULL,NULL,"Institut Teknologi Kalimantan","Fakultas Rekayasa dan Teknologi Industri","Prodi S1 Teknologi Pangan Fakultas Rekayasa dan Teknologi Industri",NULL
30102707,NULL,NULL,"Institut Teknologi Kalimantan","Fakultas Rekayasa dan Teknologi Industri","Prodi S1 Teknologi Pangan Fakultas Rekayasa dan Teknologi Industri",NULL
30102707,NULL,NULL,"Institut Teknologi Kalimantan","Fakultas Rekayasa dan Teknologi Industri","Prodi S1 Teknologi Pangan Fakultas Rekayasa dan Teknologi Industri",NULL
30102709,NULL,NULL,"Universitas Riau","Fakultas Teknik","Jurusan Teknik Elektro Fakultas Teknik","Prodi S1 Teknik Elektro Jurusan Teknik Elektro"
30102709,NULL,NULL,"Universitas Riau","Fakultas Teknik","Jurusan Teknik Elektro Fakultas Teknik","Prodi S1 Teknik Elektro Jurusan Teknik Elektro"
30102711,NULL,NULL,"Universitas Khairun","Fakultas Keguruan dan Ilmu Pendidikan","Prodi S1 Pendidikan Guru Sekolah Dasar Fakultas Keguruan dan Ilmu Pendidikan Universitas Khairun",NULL
30102711,NULL,NULL,"Universitas Khairun","Fakultas Keguruan dan Ilmu Pendidikan","Prodi S1 Pendidikan Guru Sekolah Dasar Fakultas Keguruan dan Ilmu Pendidikan Universitas Khairun",NULL
30102713,"Universitas Pembangunan Nasional Veteran Jakarta","Fakultas Kedokteran","Jurusan Kedokteran Umum Fakultas Kedokteran","Program Studi Profesi Dokter 19 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI",NULL,"Universitas Pembangunan Jurusan Kedokteran Umum Fakultas Kedokteran"
30102713,"Universitas Pembangunan Nasional Veteran Jakarta","Fakultas Kedokteran","Jurusan Kedokteran Umum Fakultas Kedokteran","Program Studi Profesi Dokter 19 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI",NULL,"Universitas Pembangunan Jurusan Kedokteran Umum Fakultas Kedokteran"
30102713,"Universitas Pembangunan Nasional Veteran Jakarta","Fakultas Kedokteran","Jurusan Kedokteran Umum Fakultas Kedokteran","Program Studi Profesi Dokter 19 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI",NULL,"Universitas Pembangunan Jurusan Kedokteran Umum Fakultas Kedokteran"
30102713,"Universitas Pembangunan Nasional Veteran Jakarta","Fakultas Kedokteran","Jurusan Kedokteran Umum Fakultas Kedokteran","Program Studi Profesi Dokter 19 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI",NULL,"Universitas Pembangunan Jurusan Kedokteran Umum Fakultas Kedokteran"
30102713,"Universitas Pembangunan Nasional Veteran Jakarta","Fakultas Kedokteran","Jurusan Kedokteran Umum Fakultas Kedokteran","Program Studi Profesi Dokter 19 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI",NULL,"Universitas Pembangunan Jurusan Kedokteran Umum Fakultas Kedokteran"
30102713,"Universitas Pembangunan Nasional Veteran Jakarta","Fakultas Kedokteran","Jurusan Kedokteran Umum Fakultas Kedokteran","Program Studi Profesi Dokter 19 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI",NULL,"Universitas Pembangunan Jurusan Kedokteran Umum Fakultas Kedokteran"
30102713,"Universitas Pembangunan Nasional Veteran Jakarta","Fakultas Kedokteran","Jurusan Kedokteran Umum Fakultas Kedokteran","Program Studi Profesi Dokter 19 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI",NULL,"Universitas Pembangunan Jurusan Kedokteran Umum Fakultas Kedokteran"
30102713,"Universitas Pembangunan Nasional Veteran Jakarta","Fakultas Kedokteran","Jurusan Kedokteran Umum Fakultas Kedokteran","Program Studi Profesi Dokter 19 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI",NULL,"Universitas Pembangunan Jurusan Kedokteran Umum Fakultas Kedokteran"
30102713,"Universitas Pembangunan Nasional Veteran Jakarta","Fakultas Kedokteran","Jurusan Kedokteran Umum Fakultas Kedokteran","Program Studi Profesi Dokter 19 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI",NULL,"Universitas Pembangunan Jurusan Kedokteran Umum Fakultas Kedokteran"
30102713,"Universitas Pembangunan Nasional Veteran Jakarta","Fakultas Kedokteran","Jurusan Kedokteran Umum Fakultas Kedokteran","Program Studi Profesi Dokter 19 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI",NULL,"Universitas Pembangunan Jurusan Kedokteran Umum Fakultas Kedokteran"
30102713,"Universitas Pembangunan Nasional Veteran Jakarta","Fakultas Kedokteran","Jurusan Kedokteran Umum Fakultas Kedokteran","Program Studi Profesi Dokter 19 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI",NULL,"Universitas Pembangunan Jurusan Kedokteran Umum Fakultas Kedokteran"
30102713,"Universitas Pembangunan Nasional Veteran Jakarta","Fakultas Kedokteran","Jurusan Kedokteran Umum Fakultas Kedokteran","Program Studi Profesi Dokter 19 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI",NULL,"Universitas Pembangunan Jurusan Kedokteran Umum Fakultas Kedokteran"
30102714,"Fakultas Ilmu Keguruan dan Pendidikan","Jurusan Ilmu Pendidikan Fakultas Keguruan dan Ilmu Pendidikan","Program Studi S1 Bimbingan dan 1 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI",NULL,"Universitas Sriwijaya","Fakultas Konseling Jurusan Ilmu Pendidikan Fakultas Keguruan dan Ilmu Pendidikan"
30102714,"Fakultas Ilmu Keguruan dan Pendidikan","Jurusan Ilmu Pendidikan Fakultas Keguruan dan Ilmu Pendidikan","Program Studi S1 Bimbingan dan 1 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI",NULL,"Universitas Sriwijaya","Fakultas Konseling Jurusan Ilmu Pendidikan Fakultas Keguruan dan Ilmu Pendidikan"
30102715,NULL,NULL,"Politeknik Pertanian Negeri Payakumbuh","Jurusan Peternakan dan Kesehatan Hewan","Program Studi Paramedik Veteriner",NULL
30102715,NULL,NULL,"Politeknik Pertanian Negeri Payakumbuh","Jurusan Peternakan dan Kesehatan Hewan","Program Studi Paramedik Veteriner",NULL
30102715,NULL,NULL,"Politeknik Pertanian Negeri Payakumbuh","Jurusan Peternakan dan Kesehatan Hewan","Program Studi Paramedik Veteriner",NULL
30102715,NULL,NULL,"Politeknik Pertanian Negeri Payakumbuh","Jurusan Peternakan dan Kesehatan Hewan","Program Studi Paramedik Veteriner",NULL
30102715,NULL,NULL,"Politeknik Pertanian Negeri Payakumbuh","Jurusan Peternakan dan Kesehatan Hewan","Program Studi Paramedik Veteriner",NULL
30102715,NULL,NULL,"Politeknik Pertanian Negeri Payakumbuh","Jurusan Peternakan dan Kesehatan Hewan","Program Studi Paramedik Veteriner",NULL
30102715,NULL,NULL,"Politeknik Pertanian Negeri Payakumbuh","Jurusan Peternakan dan Kesehatan Hewan","Program Studi Paramedik Veteriner",NULL
30102715,NULL,NULL,"Politeknik Pertanian Negeri Payakumbuh","Jurusan Peternakan dan Kesehatan Hewan","Program Studi Paramedik Veteriner",NULL
30102717,NULL,NULL,"Institut Seni Indonesia Surakarta","Fakultas Seni Pertunjukan","Jurusan Etnomusikologi Fakultas Seni Pertunjukan","Prodi S-1 Etnomusikologi Jurusan Etnomusikologi"
30102717,NULL,NULL,"Institut Seni Indonesia Surakarta","Fakultas Seni Pertunjukan","Jurusan Etnomusikologi Fakultas Seni Pertunjukan","Prodi S-1 Etnomusikologi Jurusan Etnomusikologi"
30102717,NULL,NULL,"Institut Seni Indonesia Surakarta","Fakultas Seni Pertunjukan","Jurusan Etnomusikologi Fakultas Seni Pertunjukan","Prodi S-1 Etnomusikologi Jurusan Etnomusikologi"
30102717,NULL,NULL,"Institut Seni Indonesia Surakarta","Fakultas Seni Pertunjukan","Jurusan Etnomusikologi Fakultas Seni Pertunjukan","Prodi S-1 Etnomusikologi Jurusan Etnomusikologi"
30102717,NULL,NULL,"Institut Seni Indonesia Surakarta","Fakultas Seni Pertunjukan","Jurusan Etnomusikologi Fakultas Seni Pertunjukan","Prodi S-1 Etnomusikologi Jurusan Etnomusikologi"
30102717,NULL,NULL,"Institut Seni Indonesia Surakarta","Fakultas Seni Pertunjukan","Jurusan Etnomusikologi Fakultas Seni Pertunjukan","Prodi S-1 Etnomusikologi Jurusan Etnomusikologi"
30102717,NULL,NULL,"Institut Seni Indonesia Surakarta","Fakultas Seni Pertunjukan","Jurusan Etnomusikologi Fakultas Seni Pertunjukan","Prodi S-1 Etnomusikologi Jurusan Etnomusikologi"
30102717,NULL,NULL,"Institut Seni Indonesia Surakarta","Fakultas Seni Pertunjukan","Jurusan Etnomusikologi Fakultas Seni Pertunjukan","Prodi S-1 Etnomusikologi Jurusan Etnomusikologi"
30102717,NULL,NULL,"Institut Seni Indonesia Surakarta","Fakultas Seni Pertunjukan","Jurusan Etnomusikologi Fakultas Seni Pertunjukan","Prodi S-1 Etnomusikologi Jurusan Etnomusikologi"
30102717,NULL,NULL,"Institut Seni Indonesia Surakarta","Fakultas Seni Pertunjukan","Jurusan Etnomusikologi Fakultas Seni Pertunjukan","Prodi S-1 Etnomusikologi Jurusan Etnomusikologi"
30102717,NULL,NULL,"Institut Seni Indonesia Surakarta","Fakultas Seni Pertunjukan","Jurusan Etnomusikologi Fakultas Seni Pertunjukan","Prodi S-1 Etnomusikologi Jurusan Etnomusikologi"
